top double	17	roo double	1	16	1	17	64.0	0.2	0	0.8	0.7777777777777778	false
loft advance	46	port advance	1	45	1	46	506.25	0.2	0	0.8333	0.7777777777777778	false
dlx kng	2	dlx mnt	2	0	2	2	0.0	0.2	0	0.7143	0.7777777777777778	true
grand confort	6	grand comfort	229	223	6	229	12432.25	0.1	0	0.9231	1.0	true
nights get	1290	nigths get	1	1289	1	1290	415380.25	0.2	0	0.8	1.0	false
six room	10	dlx room	324	314	10	324	24649.0	0.2	0	0.75	0.6666666666666667	true
suite bar	34	suite nae	1	33	1	34	272.25	0.2	0	0.7778	0.7777777777777778	false
smoking top	26	smoking tpl	2	24	2	26	144.0	0.2	0	0.8182	0.8888888888888888	true
superior offer	57	superior offre	1	56	1	57	784.0	0.2	0	0.8571	1.0	false
plus last	2	pois last	1	1	1	2	0.25	0.2	0	0.7778	0.7777777777777778	false
dbl with	145	sgl with	45	100	45	145	2500.0	0.2	0	0.75	0.7777777777777778	true
board nfq	4	board neq	1	3	1	4	2.25	0.1	0	0.8889	0.7777777777777778	false
roh family	8	dom family	1	7	1	8	12.25	0.2	0	0.8	0.7777777777777778	false
naga suite	22	baba suite	7	15	7	22	56.25	0.2	0	0.8	0.7777777777777778	true
cave villa	32	face villa	1	31	1	32	240.25	0.2	0	0.8	0.7777777777777778	false
twin walk	3	twin wall	4	1	3	4	0.25	0.1	0	0.8889	0.8888888888888888	true
the fig	9	the tin	6	3	6	9	2.25	0.2	0	0.7143	0.7777777777777778	true
big family	86	fig family	1	85	1	86	1806.25	0.1	0	0.9	0.8888888888888888	false
fee room	90	bee room	1	89	1	90	1980.25	0.1	0	0.875	0.8888888888888888	false
chalet double	125	chaley double	7	118	7	125	3481.0	0.1	0	0.9231	0.8888888888888888	true
srandard room	3	stamdard room	1	2	1	3	1.0	0.2	0	0.8462	0.8888888888888888	false
tree family	4	free family	1	3	1	4	2.25	0.1	0	0.9091	0.8888888888888888	false
free sed	11	free see	1	10	1	11	25.0	0.1	0	0.875	0.8888888888888888	false
good suite	9	foor suite	1	8	1	9	16.0	0.2	0	0.8	0.7777777777777778	false
the oak	11	the owl	1	10	1	11	25.0	0.2	0	0.7143	0.8888888888888888	false
fan suite	8	fab suite	1	7	1	8	12.25	0.1	0	0.8889	0.8888888888888888	false
kns suite	2	oms suite	1	1	1	2	0.25	0.2	0	0.7778	0.8888888888888888	false
bed plunge	3	bdr plunge	1	2	1	3	1.0	0.2	0	0.8	0.8888888888888888	false
bird full	2	bure full	6	4	2	6	4.0	0.2	0	0.7778	0.8888888888888888	true
free ngk	16	free nrk	8	8	8	16	16.0	0.1	0	0.875	0.8888888888888888	true
bedroom yotei	26	bedroom hotel	164	138	26	164	4761.0	0.2	0	0.8462	0.7777777777777778	true
free sgd	3	free chd	1	2	1	3	1.0	0.2	0	0.75	0.6666666666666667	false
suite pearl	23	white pearl	8	15	8	23	56.25	0.2	0	0.8182	0.8888888888888888	true
nsk with	6	nsm with	1	5	1	6	6.25	0.1	0	0.875	0.8888888888888888	false
room non	22162	foom non	1	22161	1	22162	1.2277748025E8	0.1	0	0.875	0.8888888888888888	false
desk full	71	deal full	6	65	6	71	1056.25	0.2	0	0.7778	0.7777777777777778	true
els suite	2	sla suite	2	0	2	2	0.0	0.2	0	0.7778	0.7777777777777778	true
dusk room	2	duck room	3	1	2	3	0.25	0.1	0	0.8889	1.0	true
comp nfq	4	comp ndq	1	3	1	4	2.25	0.1	0	0.875	0.8888888888888888	false
deck wifi	4	deco wifi	2	2	2	4	1.0	0.1	0	0.8889	0.8888888888888888	true
for suite	14	bkr suite	2	12	2	14	36.0	0.2	0	0.7778	0.6666666666666667	true
wee single	2	are single	2	0	2	2	0.0	0.2	0	0.8	0.7777777777777778	true
people included	2	people includes	2	0	2	2	0.0	0.1	0	0.9333	1.0	true
pers hot	2	pets hot	5	3	2	5	2.25	0.1	0	0.875	0.8888888888888888	true
with ssh	3	with san	10	7	3	10	12.25	0.2	0	0.75	0.8888888888888888	true
suite desk	51	suite deal	138	87	51	138	1892.25	0.2	0	0.8	0.7777777777777778	true
201 min	2	201 non	9	7	2	9	12.25	0.2	0	0.7143	0.8888888888888888	true
slab cottage	3	elan cottage	2	1	2	3	0.25	0.2	0	0.8333	0.7777777777777778	true
queen bao	2	queen nao	13	11	2	13	30.25	0.1	0	0.8889	0.8888888888888888	true
bdrm king	188	brdm king	2	186	2	188	8649.0	0.2	0	0.7778	0.7777777777777778	true
room rear	9	room dead	2	7	2	9	12.25	0.2	0	0.7778	0.7777777777777778	true
joyce min	2	joyce non	1	1	1	2	0.25	0.2	0	0.7778	0.8888888888888888	false
kitchen ste	75	kitchen are	1	74	1	75	1369.0	0.2	0	0.8182	0.7777777777777778	false
standard dsu	7	standard day	111	104	7	111	2704.0	0.2	0	0.8333	0.8888888888888888	true
free nbd	5	free nfd	68	63	5	68	992.25	0.1	0	0.875	1.0	true
log with	3	pkg with	23	20	3	23	100.0	0.2	0	0.75	0.7777777777777778	true
suite each	10	suite east	25	15	10	25	56.25	0.2	0	0.8	0.8888888888888888	true
cityview hot	44	cityview hig	1	43	1	44	462.25	0.2	0	0.8333	0.8888888888888888	false
suite loft	214	suite port	2	212	2	214	11236.0	0.2	0	0.8	0.7777777777777778	true
head mountain	3	bear mountain	8	5	3	8	6.25	0.2	0	0.8462	0.7777777777777778	true
singe room	38	wings room	1	37	1	38	342.25	0.2	0	0.8	0.7777777777777778	false
room sda	2	room ara	1	1	1	2	0.25	0.2	0	0.75	0.7777777777777778	false
maple room	16	naple room	2	14	2	16	49.0	0.1	0	0.9	0.8888888888888888	true
standard vibe	2	standard dive	1	1	1	2	0.25	0.2	0	0.8462	0.8888888888888888	false
supeior room	6	suprior room	18	12	6	18	36.0	0.1	0	0.9167	0.8888888888888888	true
xenia suite	3	denis suite	2	1	2	3	0.25	0.2	0	0.8182	0.7777777777777778	true
fees room	9	teed room	1	8	1	9	16.0	0.2	0	0.7778	0.7777777777777778	false
fridge avail	8	bridge avail	1	7	1	8	12.25	0.1	0	0.9167	0.8888888888888888	false
nonsmoking golf	5	nonsmoking good	3	2	3	5	1.0	0.2	0	0.8667	0.7777777777777778	true
microwave safe	3	microwave save	1	2	1	3	1.0	0.1	0	0.9286	1.0	false
polar double	3	pilar double	1	2	1	3	1.0	0.1	0	0.9167	1.0	false
son suite	3	don suite	1	2	1	3	1.0	0.1	0	0.8889	0.8888888888888888	false
vista rio	2	vista too	3	1	2	3	0.25	0.2	0	0.7778	0.8888888888888888	true
beds red	10	beds rec	5	5	5	10	6.25	0.1	0	0.875	0.8888888888888888	true
harem view	5	garen view	2	3	2	5	2.25	0.2	0	0.8	0.8888888888888888	true
nights bed	2	nights new	1	1	1	2	0.25	0.2	0	0.8	0.7777777777777778	false
suite desk	51	suite deco	14	37	14	51	342.25	0.2	0	0.8	0.8888888888888888	true
gading villa	13	facing villa	132	119	13	132	3540.25	0.2	0	0.8333	0.7777777777777778	true
studiod advance	5	studios advance	6	1	5	6	0.25	0.1	0	0.9333	0.8888888888888888	true
suite desk	51	suite deck	20	31	20	51	240.25	0.1	0	0.9	1.0	true
accessible bed	11	accessible new	2	9	2	11	20.25	0.2	0	0.8571	0.7777777777777778	true
wifi sdq	2	wifi swq	1	1	1	2	0.25	0.1	0	0.875	0.7777777777777778	false
and wet	110	and der	1	109	1	110	2970.25	0.2	0	0.7143	0.7777777777777778	false
and bfast	4	and feast	2	2	2	4	1.0	0.2	0	0.7778	0.6666666666666667	true
apartment not	14	apartment hot	318	304	14	318	23104.0	0.1	0	0.9231	0.8888888888888888	true
queen sea	379	queen sfa	1	378	1	379	35721.0	0.1	0	0.8889	0.8888888888888888	false
and fit	20	and for	1	19	1	20	90.25	0.2	0	0.7143	0.8888888888888888	false
free nbd	5	free nhd	4	1	4	5	0.25	0.1	0	0.875	0.7777777777777778	true
free ngk	16	free nvk	7	9	7	16	20.25	0.1	0	0.875	0.8888888888888888	true
nights ans	2	mights and	1	1	1	2	0.25	0.2	0	0.8	0.7777777777777778	false
port suite	3	poet suite	2	1	2	3	0.25	0.1	0	0.9	0.7777777777777778	true
and micro	155	ams micro	1	154	1	155	5929.0	0.2	0	0.7778	0.8888888888888888	false
free sjk	13	free sml	8	5	8	13	6.25	0.2	0	0.75	0.7777777777777778	true
bulk bed	3	full bed	949	946	3	949	223729.0	0.2	0	0.75	0.7777777777777778	true
room fro	3	room dro	1	2	1	3	1.0	0.1	0	0.875	0.8888888888888888	false
speed net	3751	speed jet	2	3749	2	3751	3513750.25	0.1	0	0.8889	0.8888888888888888	true
village loop	2	village pool	1	1	1	2	0.25	0.2	0	0.8333	0.7777777777777778	false
room sud	2	room eid	3	1	2	3	0.25	0.2	0	0.75	0.8888888888888888	true
bed sep	13	bed del	4	9	4	13	20.25	0.2	0	0.7143	0.7777777777777778	true
pool for	7	pool fit	4	3	4	7	2.25	0.2	0	0.75	0.8888888888888888	true
off advance	26	ovr advance	1	25	1	26	156.25	0.2	0	0.8182	0.8888888888888888	false
kwai suite	2	udai suite	2	0	2	2	0.0	0.2	0	0.8	0.7777777777777778	true
free nbd	5	free ngd	14	9	5	14	20.25	0.1	0	0.875	0.8888888888888888	true
privileged suite	16	privileges suite	2	14	2	16	49.0	0.1	0	0.9375	1.0	true
free sjk	13	free snk	5	8	5	13	16.0	0.1	0	0.875	0.8888888888888888	true
deluxe sgl	49	deluxe sfk	1	48	1	49	576.0	0.2	0	0.8	0.7777777777777778	false
evo room	3	eco room	110	107	3	110	2862.25	0.1	0	0.875	0.8888888888888888	true
day room	331	cat room	1	330	1	331	27225.0	0.2	0	0.75	0.7777777777777778	false
hbo npk	4	hbo nlk	1	3	1	4	2.25	0.1	0	0.8571	0.8888888888888888	false
nine suite	12	mine suite	1	11	1	12	30.25	0.1	0	0.9	0.8888888888888888	false
map room	3	nap room	4	1	3	4	0.25	0.1	0	0.875	0.8888888888888888	true
floor hair	78	floor half	14	64	14	78	1024.0	0.2	0	0.8	0.7777777777777778	true
deluxe king	46227	deluxe long	93	46134	93	46227	5.32086489E8	0.2	0	0.8182	0.8888888888888888	true
