g room	30	y room	4	26	4	30	169.0	0.1	0	0.8333	0.8888888888888888	true
well room	19	drop room	1	18	1	19	81.0	0.4	0	0.5556	0.6666666666666667	false
city view	84578	city vidw	1	84577	1	84578	1.78831723225E9	0.1	0	0.8889	0.8888888888888888	false
resort view	6433	resort bure	20	6413	20	6433	1.028164225E7	0.4	0	0.6364	0.7777777777777778	true
show and	6	able and	1	5	1	6	6.25	0.4	0	0.5	0.6666666666666667	false
c tower	33	s hower	29	4	29	33	4.0	0.2	0	0.7143	0.7777777777777778	true
go room	25	no room	22	3	22	25	2.25	0.1	0	0.8571	0.8888888888888888	true
go room	25	no toin	5	20	5	25	100.0	0.4	0	0.4286	0.7777777777777778	true
de deluxe	1	fe deluxe	4	3	1	4	2.25	0.1	0	0.8889	0.8888888888888888	false
east tower	568	easy rider	4	564	4	568	79524.0	0.4	0	0.6	0.5555555555555556	true
2 rooma	1	2 rooms	4036	4035	1	4036	4070306.25	0.1	0	0.8571	0.8888888888888888	false
ea view	1	rs view	1	0	1	1	0.0	0.2	0	0.7143	0.7777777777777778	false
ground floor	7604	ground flood	2	7602	2	7604	1.4447601E7	0.1	0	0.9167	0.8888888888888888	true
with view	13267	sign view	11	13256	11	13267	4.3930384E7	0.30000000000000004	0	0.6667	0.6666666666666667	true
o water	2	k water	2	0	2	2	0.0	0.1	0	0.8571	0.8888888888888888	true
g room	30	n room	22	8	22	30	16.0	0.1	0	0.8333	0.8888888888888888	true
pool view	54957	pool viwe	1	54956	1	54957	7.55040484E8	0.2	0	0.7778	1.0	false
ba view	6	fa view	1	5	1	6	6.25	0.1	0	0.8571	0.8888888888888888	false
isl view	3	ock view	1	2	1	3	1.0	0.30000000000000004	0	0.625	0.7777777777777778	false
non balcony	44	big balcony	12	32	12	44	256.0	0.30000000000000004	0	0.7273	0.7777777777777778	true
golf view	4131	hole view	11	4120	11	4131	4243600.0	0.2	0	0.7778	0.7777777777777778	true
japanese sty	1	japanese dry	1	0	1	1	0.0	0.2	0	0.8333	0.7777777777777778	false
run of	12808	tub oc	4	12804	4	12808	4.0985604E7	0.30000000000000004	0	0.5	0.6666666666666667	true
new style	743	bed style	86	657	86	743	107912.25	0.2	0	0.7778	0.7777777777777778	true
south wing	1031	court wing	11	1020	11	1031	260100.0	0.30000000000000004	0	0.7	0.6666666666666667	true
poo villa	3	pol villa	3	0	3	3	0.0	0.1	0	0.8889	0.8888888888888888	true
nile view	1711	good view	7	1704	7	1711	725904.0	0.4	0	0.5556	0.7777777777777778	true
go room	25	fi room	2	23	2	25	132.25	0.2	0	0.7143	0.8888888888888888	true
l room	43	p room	4	39	4	43	380.25	0.1	0	0.8333	0.8888888888888888	true
pool villa	43558	pool viila	2	43556	2	43558	4.74281284E8	0.1	0	0.9	1.0	true
korean style	1341	korean sytle	1	1340	1	1341	448900.0	0.2	0	0.8333	1.0	false
villa view	16	villa bird	2	14	2	16	49.0	0.30000000000000004	0	0.7	0.6666666666666667	true
run of	12808	tub or	105	12703	105	12808	4.034155225E7	0.30000000000000004	0	0.5	0.6666666666666667	true
water view	3964	water bure	2	3962	2	3964	3924361.0	0.4	0	0.6	0.7777777777777778	true
golf view	4131	gold view	167	3964	167	4131	3928324.0	0.1	0	0.8889	0.8888888888888888	true
min suite	7	jun suite	6	1	6	7	0.25	0.2	0	0.7778	0.8888888888888888	true
spa villa	1336	dlx villa	30	1306	30	1336	426409.0	0.30000000000000004	0	0.6667	0.6666666666666667	true
golf view	4131	nile view	1711	2420	1711	4131	1464100.0	0.30000000000000004	0	0.6667	0.7777777777777778	true
lake view	18836	lake biwa	2	18834	2	18836	8.8679889E7	0.30000000000000004	0	0.6667	0.8888888888888888	true
island view	1531	island bure	71	1460	71	1531	532900.0	0.4	0	0.6364	0.7777777777777778	true
gulf view	1648	nile view	1711	63	1648	1711	992.25	0.30000000000000004	0	0.6667	0.7777777777777778	true
go room	25	rp room	2	23	2	25	132.25	0.2	0	0.7143	0.7777777777777778	true
n tower	53	b tower	1	52	1	53	676.0	0.1	0	0.8571	0.8888888888888888	false
o view	4	k view	44	40	4	44	400.0	0.1	0	0.8333	0.8888888888888888	true
main building	13920	main buliding	3	13917	3	13920	4.842072225E7	0.2	0	0.8462	1.0	true
ocean views	275	ocean viewe	1	274	1	275	18769.0	0.1	0	0.9091	0.8888888888888888	false
riv view	7	tub view	2	5	2	7	6.25	0.30000000000000004	0	0.625	0.8888888888888888	true
o water	2	l water	4	2	2	4	1.0	0.1	0	0.8571	0.8888888888888888	true
ocean view	97162	oceam view	61	97101	61	97162	2.35715105025E9	0.1	0	0.9	1.0	true
on balcony	20	lg balcony	16	4	16	20	4.0	0.2	0	0.8	0.7777777777777778	true
or mountain	240	of mountain	2	238	2	240	14161.0	0.1	0	0.9091	0.8888888888888888	true
on water	101	kg water	15	86	15	101	1849.0	0.2	0	0.75	0.7777777777777778	true
new wing	2316	bed ding	1	2315	1	2316	1339806.25	0.30000000000000004	0	0.625	0.6666666666666667	false
1 bedroom	203798	1 bderoom	1	203797	1	203798	1.038330430225E10	0.2	0	0.7778	1.0	false
del luxe	1	del kids	30	29	1	30	210.25	0.4	0	0.5	0.6666666666666667	false
sea views	198	sea vieww	1	197	1	198	9702.25	0.1	0	0.8889	0.8888888888888888	false
go room	25	to room	14	11	14	25	30.25	0.1	0	0.8571	0.8888888888888888	true
pool villa	43558	pooi villa	1	43557	1	43558	4.7430306225E8	0.1	0	0.9	0.8888888888888888	false
mini suite	5144	hoho suite	3	5141	3	5144	6607470.25	0.4	0	0.6	0.7777777777777778	true
spa villa	1336	dow villa	1	1335	1	1336	445556.25	0.30000000000000004	0	0.6667	0.7777777777777778	false
c tower	33	d tower	1	32	1	33	256.0	0.1	0	0.8571	0.8888888888888888	false
ba view	6	ns view	37	31	6	37	240.25	0.2	0	0.7143	0.7777777777777778	true
sea view	163963	sew view	8	163955	8	163963	6.72031050625E9	0.1	0	0.875	1.0	true
loft suite	1954	poet suite	2	1952	2	1954	952576.0	0.2	0	0.8	0.6666666666666667	true
chic tower	145	dbls tower	19	126	19	145	3969.0	0.4	0	0.6	0.5555555555555556	true
lake view	18836	pakr view	4	18832	4	18836	8.8661056E7	0.2	0	0.7778	0.7777777777777778	true
air conditioner	138	air conditioned	1168	1030	138	1168	265225.0	0.1	0	0.9333	1.0	true
mini suite	5144	kohi suite	2	5142	2	5144	6610041.0	0.30000000000000004	0	0.7	0.7777777777777778	true
with view	13267	with fire	14	13253	14	13267	4.391050225E7	0.30000000000000004	0	0.6667	0.7777777777777778	true
ocean view	97162	ocean bird	2	97160	2	97162	2.3600164E9	0.30000000000000004	0	0.7	0.6666666666666667	true
pool villa	43558	poll villa	2	43556	2	43558	4.74281284E8	0.1	0	0.9	1.0	true
on water	101	in water	27	74	27	101	1369.0	0.1	0	0.875	0.8888888888888888	true
go room	25	ni room	4	21	4	25	110.25	0.2	0	0.7143	0.8888888888888888	true
de deluxe	1	sf deluxe	2	1	1	2	0.25	0.2	0	0.7778	0.7777777777777778	false
de luxe	517	vw luxr	1	516	1	517	66564.0	0.30000000000000004	0	0.5714	0.7777777777777778	false
pool view	54957	polo view	33	54924	33	54957	7.54161444E8	0.2	0	0.7778	1.0	true
e tower	1	w tower	1	0	1	1	0.0	0.1	0	0.8571	0.8888888888888888	false
sea view	163963	sea vuew	1	163962	1	163963	6.720884361E9	0.1	0	0.875	1.0	false
open air	4865	oprn air	8	4857	8	4865	5897612.25	0.1	0	0.875	0.7777777777777778	true
c view	7	d view	44	37	7	44	342.25	0.1	0	0.8333	0.8888888888888888	true
loft suite	1954	port suite	3	1951	3	1954	951600.25	0.2	0	0.8	0.7777777777777778	true
well room	19	seki room	1	18	1	19	81.0	0.30000000000000004	0	0.6667	0.7777777777777778	false
3 beroom	1	3 bedoom	2	1	1	2	0.25	0.1	0	0.875	0.8888888888888888	false
s tower	190	s hidef	2	188	2	190	8836.0	0.4	0	0.4286	0.6666666666666667	true
fall view	136	gaol view	3	133	3	136	4422.25	0.2	0	0.7778	0.8888888888888888	true
s tower	190	d tower	1	189	1	190	8930.25	0.1	0	0.8571	0.8888888888888888	false
go room	25	ro room	24	1	24	25	0.25	0.1	0	0.8571	0.8888888888888888	true
2 roo	2	2 top	4	2	2	4	1.0	0.2	0	0.6	0.7777777777777778	true
on balcony	20	in balcony	1	19	1	20	90.25	0.1	0	0.9	0.8888888888888888	false
show and	6	dbls and	3	3	3	6	2.25	0.4	0	0.5	0.5555555555555556	true
tree top	139	free roo	1	138	1	139	4761.0	0.30000000000000004	0	0.625	0.6666666666666667	false
de deluxe	1	rr deluxe	1	0	1	1	0.0	0.2	0	0.7778	0.8888888888888888	false
hip room	1084	bio room	5	1079	5	1084	291060.25	0.2	0	0.75	0.7777777777777778	true
with window	2179	with wondow	1	2178	1	2179	1185921.0	0.1	0	0.9091	1.0	false
parks view	2	paris view	136	134	2	136	4489.0	0.1	0	0.9	0.8888888888888888	true
non window	30	big window	7	23	7	30	132.25	0.30000000000000004	0	0.7	0.7777777777777778	true
shared bathroom	42435	shared bathroon	3	42432	3	42435	4.50118656E8	0.1	0	0.9333	1.0	true
s tower	190	a tower	1	189	1	190	8930.25	0.1	0	0.8571	0.8888888888888888	false
loft suite	1954	lift suite	1	1953	1	1954	953552.25	0.1	0	0.9	1.0	false
marina view	3716	marina flrs	1	3715	1	3716	3450306.25	0.4	0	0.6364	0.5555555555555556	false
l room	43	o room	3	40	3	43	400.0	0.1	0	0.8333	0.8888888888888888	true
l room	43	i room	1	42	1	43	441.0	0.1	0	0.8333	0.8888888888888888	false
park view	11395	park fiew	1	11394	1	11395	3.2455809E7	0.1	0	0.8889	0.8888888888888888	false
of house	9870	of moher	1	9869	1	9870	2.434929025E7	0.4	0	0.5	0.7777777777777778	false
golf view	4131	good view	7	4124	7	4131	4251844.0	0.2	0	0.7778	0.7777777777777778	true
s tower	190	s hower	29	161	29	190	6480.25	0.1	0	0.8571	0.8888888888888888	true
g room	30	f room	4	26	4	30	169.0	0.1	0	0.8333	0.8888888888888888	true
river view	24356	rivre view	1	24355	1	24356	1.4829150625E8	0.2	0	0.8	1.0	false
pool access	15227	pool accses	2	15225	2	15227	5.795015625E7	0.2	0	0.8182	0.8888888888888888	true
upper floor	2722	upper folor	6	2716	6	2722	1844164.0	0.2	0	0.8182	1.0	true
new wing	2316	bed wiht	1	2315	1	2316	1339806.25	0.4	0	0.5	0.5555555555555556	false
2 bathroom	2212	2 bathroon	1	2211	1	2212	1222130.25	0.1	0	0.9	1.0	false
g room	30	r room	14	16	14	30	64.0	0.1	0	0.8333	0.8888888888888888	true
with balcony	36441	wiht balcony	1	36440	1	36441	3.319684E8	0.2	0	0.8333	1.0	false
2 bedroom	99831	2 bedroon	2	99829	2	99831	2.49145731025E9	0.1	0	0.8889	1.0	true
se view	4	de view	4	0	4	4	0.0	0.1	0	0.8571	0.8888888888888888	true
of house	9870	kg house	1	9869	1	9870	2.434929025E7	0.2	0	0.75	0.7777777777777778	false
land view	5917	lane view	3	5914	3	5917	8743849.0	0.1	0	0.8889	0.8888888888888888	true
ocean view	97162	ovean view	5	97157	5	97162	2.35987066225E9	0.1	0	0.9	0.8888888888888888	true
o balcony	4	k balcony	19	15	4	19	56.25	0.1	0	0.8889	0.8888888888888888	true
fall view	136	call does	1	135	1	136	4556.25	0.4	0	0.5556	0.6666666666666667	false
se view	4	sd view	1	3	1	4	2.25	0.1	0	0.8571	0.8888888888888888	false
japanese styled	14	japanese styles	2	12	2	14	36.0	0.1	0	0.9333	0.8888888888888888	true
nile view	1711	gold view	167	1544	167	1711	595984.0	0.30000000000000004	0	0.6667	0.7777777777777778	true
pool view	54957	pool bure	18	54939	18	54957	7.5457343025E8	0.4	0	0.5556	0.7777777777777778	true
1 beroom	11	1 bedoom	5	6	5	11	9.0	0.1	0	0.875	0.8888888888888888	true
with view	13267	alrt view	1	13266	1	13267	4.3996689E7	0.4	0	0.5556	0.5555555555555556	false
garden view	81059	garden bure	83	80976	83	81059	1.639278144E9	0.4	0	0.6364	0.7777777777777778	true
ba view	6	na view	8	2	6	8	1.0	0.1	0	0.8571	0.8888888888888888	true
g room	30	b room	153	123	30	153	3782.25	0.1	0	0.8333	0.8888888888888888	true
city view	84578	fort view	15	84563	15	84578	1.78772524225E9	0.4	0	0.5556	0.6666666666666667	true
pool vill	25	pool full	13	12	13	25	36.0	0.2	0	0.7778	0.8888888888888888	true
park view	11395	parl view	1	11394	1	11395	3.2455809E7	0.1	0	0.8889	0.8888888888888888	false
a view	386	w view	228	158	228	386	6241.0	0.1	0	0.8333	0.8888888888888888	true
japaneses style	3	japansese style	6	3	3	6	2.25	0.4	0	0.8667	1.0	true
pool access	15227	poll access	2	15225	2	15227	5.795015625E7	0.1	0	0.9091	1.0	true
2 beroom	1	2 bdroom	11	10	1	11	25.0	0.1	0	0.875	0.7777777777777778	false
japanese style	65516	japahese style	2	65514	2	65516	1.073021049E9	0.1	0	0.9286	0.7777777777777778	true
on balcony	20	kg balcony	159	139	20	159	4830.25	0.2	0	0.8	0.7777777777777778	true
single run	454	single tim	2	452	2	454	51076.0	0.30000000000000004	0	0.7	0.8888888888888888	true
3 bedroom	30665	3 bedroon	4	30661	4	30665	2.3502423025E8	0.1	0	0.8889	1.0	true
new wing	2316	bed wing	1	2315	1	2316	1339806.25	0.2	0	0.75	0.7777777777777778	false
fall view	136	expo view	25	111	25	136	3080.25	0.4	0	0.5556	0.6666666666666667	true
non air	1524	big air	7	1517	7	1524	575322.25	0.30000000000000004	0	0.5714	0.7777777777777778	true
with balcony	36441	alrt balcony	6	36435	6	36441	3.3187730625E8	0.4	0	0.6667	0.5555555555555556	true
ocean view	97162	osean view	5	97157	5	97162	2.35987066225E9	0.1	0	0.9	1.0	true
new style	743	new sytle	1	742	1	743	137641.0	0.2	0	0.7778	1.0	false
l room	43	k room	1	42	1	43	441.0	0.1	0	0.8333	0.8888888888888888	false
aloft suite	315	sport suite	3	312	3	315	24336.0	0.30000000000000004	0	0.7273	0.6666666666666667	true
japanese style	65516	japaness style	3	65513	3	65516	1.07298829225E9	0.1	0	0.9286	1.0	true
garden view	81059	gadern view	1	81058	1	81059	1.642599841E9	0.30000000000000004	0	0.8182	0.7777777777777778	false
s tower	190	w tower	1	189	1	190	8930.25	0.1	0	0.8571	0.8888888888888888	false
ba view	6	bw view	1	5	1	6	6.25	0.1	0	0.8571	1.0	false
s tower	190	q tower	2	188	2	190	8836.0	0.1	0	0.8571	0.8888888888888888	true
de luxe	517	de lise	1	516	1	517	66564.0	0.2	0	0.7143	1.0	false
gardens view	70	gardend view	1	69	1	70	1190.25	0.1	0	0.9167	1.0	false
e tower	1	d tower	1	0	1	1	0.0	0.1	0	0.8571	0.8888888888888888	false
i tower	75	k tower	1	74	1	75	1369.0	0.1	0	0.8571	0.8888888888888888	false
lagoon view	6669	lagoon bure	3	6666	3	6669	1.1108889E7	0.4	0	0.6364	0.7777777777777778	true
min suite	7	non suite	157	150	7	157	5625.0	0.2	0	0.7778	0.8888888888888888	true
golf view	4131	roof view	18	4113	18	4131	4229192.25	0.2	0	0.7778	0.6666666666666667	true
g room	30	v room	15	15	15	30	56.25	0.1	0	0.8333	0.8888888888888888	true
single r	10	single t	6	4	6	10	4.0	0.1	0	0.875	0.8888888888888888	true
non water	11	min water	6	5	6	11	6.25	0.2	0	0.7778	0.8888888888888888	true
with balcony	36441	with balcont	2	36439	2	36441	3.3195018025E8	0.1	0	0.9167	1.0	true
with balcony	36441	with balconu	1	36440	1	36441	3.319684E8	0.1	0	0.9167	1.0	false
